FacilityName,FacilityType,LicenseNumber,Licensee_name,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,LicensedBedCount,Source_DSHS_Data,hsystem_contract,contact_person,contact_person_title,num_employees,num_resident,facility_email,cellphone_number,total_afh_same_management,region
Brookdale Renton,AL,2296,This variable does not exist for Assisted Living,71 SW VICTORIA ST,RENTON,WA,98057,King,71 SW VICTORIA ST,WA,98057,(425) 226-8977,(425) 226-9731,105,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Sherlyn Bessette,Administrator,50,101,permits@brookdale.com,NA,NA,NA
Brookdale West Seattle,AL,2319,This variable does not exist for Assisted Living,4611 35TH AVE SW,SEATTLE,WA,98126,King,4611 35TH AVE SW,WA,98126,(206) 932-5480,,60,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,MICHELLE WORCESTER,Administrator,37,24,michelle.worcester@brookdale.com,NA,NA,NA
Cascade Place,AL,2541,This variable does not exist for Assisted Living,2000 Mountain View Dr,Enumclaw,WA,98022,King,2000 Mountain View Dr,WA,98022,,,40,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHAMPION HOUSE,AL,698,This variable does not exist for Assisted Living,1800 145th Pl SE,Bellevue,WA,98007,King,15111 8th Ave SW Ste 303,WA,98166,(425) 644-4477,,8,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Cheryl Jordan,Administrator,19,8,NA,NA,NA,NA
CHATEAU AT BOTHELL LANDING RETIREMENT COMMUNITY,AL,2228,This variable does not exist for Assisted Living,17543 102ND AVENUE NE,BOTHELL,WA,98011,King,17543 102ND AVENUE NE,WA,98011,(425) 485-1155,,160,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Alexander Ziomas,Administrator,150,140,alex.ziomas@chateaullc.com,NA,NA,NA
CHATEAU AT VALLEY CENTER RETIREMENT COMMUNITY,AL,2230,This variable does not exist for Assisted Living,4450 DAVIS AVE S,RENTON,WA,98058,King,4450 DAVIS AVE S,WA,98058,(425) 251-6677,(425) 970-6377,120,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Muna Kore,Administrator,96,85,info@chateau-valley-center.com,NA,NA,NA
Cogir Northgate,AL,2474,This variable does not exist for Assisted Living,11501 15th Ave NE,Seattle,WA,98125,King,11501 15th Ave NE,WA,98125,(206) 362-7250,,85,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,PAULINE SMITH,Administrator,55,55,mworcester@cogir.net,NA,NA,NA
Cogir Queen Anne,AL,2473,This variable does not exist for Assisted Living,805 4th Ave N,Seattle,WA,98109,King,805 4th Ave N,WA,98109,,,100,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Ken Klotz,Administrator,75,71,kklotz@cogir.net,(206)284-0055 (Mobile),NA,NA
Covenant Living West,AL,958,This variable does not exist for Assisted Living,9115 FORTUNA DRIVE,MERCER ISLAND,WA,98040,King,9115 FORTUNA DRIVE,WA,98040,(206) 316-8042,,55,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Debra Gillaspie,Administrator,43,42,dgillaspie@covenantretirement.org,NA,NA,NA
CRISTWOOD RETIREMENT COMMUNITY,AL,770,This variable does not exist for Assisted Living,19303 Fremont Ave N,Shoreline,WA,98133,King,19303 Fremont Ave N,WA,98133,(206) 546-7573,,90,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Brandi Smith,Administrator,0,78,gmelin@crista.net,NA,NA,NA
CROWN HILL GROUP HOME,AL,516,This variable does not exist for Assisted Living,9523 15TH AVE NW,SEATTLE,WA,98117,King,PO BOX 17017,WA,98127,(206) 782-4293,,6,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Richard Massey,Administrator,16,6,pat@ufgh.org,NA,NA,NA
DAYSTAR AT WESTWOOD,AL,924,This variable does not exist for Assisted Living,2615 SW BARTON STREET,SEATTLE,WA,98126,King,2615 SW BARTON ST,WA,98126,(206) 937-6122,,60,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Robyn Huetter,Administrator,41,36,eva@daystarseattle.com,NA,NA,NA
ELDORADO WEST RETIREMENT COMMUNITY,AL,2140,This variable does not exist for Assisted Living,1010 SW 134th St,Burien,WA,98146,King,2020 A St SE Suite 101,WA,98002,(206) 248-1975,(360) 243-7382,80,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Nichole Smith,Administrator,No response,No response,office@villageconcepts.com,NA,NA,NA
Emerald City Senior Living,AL,2364,This variable does not exist for Assisted Living,9001 LAKE CITY WAY NE,SEATTLE,WA,98115,King,9001 LAKE CITY WAY NE,WA,98115,(206) 729-1200,(206) 729-2700,119,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Pamela Dill,Administrator,63,71,emeraldcityED@islllc.com,NA,NA,NA
EMERALD HEIGHTS,AL,994,This variable does not exist for Assisted Living,10901 176TH CIRCLE NE,REDMOND,WA,98052,King,10901 176TH CIRCLE NE,WA,98052,(425) 556-8100,,60,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,ANN ZELL,Administrator,No response,No response,grantl@emeraldheights.com,NA,NA,NA
EVERGREEN COURT,AL,1502,This variable does not exist for Assisted Living,900 124TH AVENUE NE,BELLEVUE,WA,98005,King,900 124TH AVENUE NE,WA,98005,(425) 455-4333,(425) 637-7074,45,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Mark Mullen,Administrator,39,38,mmullen@dashhousing.org,NA,NA,NA
EXPRESSIONS AT ENUMCLAW,AL,1603,This variable does not exist for Assisted Living,2454 COLE STREET,ENUMCLAW,WA,98022,King,2454 COLE STREET,WA,98022,(360) 825-4565,,52,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Constance Winstead,Administrator,129,110,licensing@prestigecare.com,NA,NA,NA
FAIRWINDS BRITTANY PARK,AL,1172,This variable does not exist for Assisted Living,17143 133RD AVE NE,WOODINVILLE,WA,98072,King,17143 133RD AVE NE,WA,98072,(425) 402-7100,,45,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Kate Harrison,Administrator,85,33,rclark@leisurecare.com,NA,NA,NA
FAIRWINDS REDMOND,AL,1814,This variable does not exist for Assisted Living,9988 AVONDALE ROAD NE,REDMOND,WA,98052,King,9988 AVONDALE ROAD NE,WA,98052,(425) 558-4700,,50,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Karen Bender,Administrator,19,39,nwetmore@leisurecare.com,NA,NA,NA
FAMILY TO FAMILY SENIOR CARE INC,AL,2347,This variable does not exist for Assisted Living,25633 SE 30th St,Sammamish,WA,98075,King,25633 SE 30th St,WA,98075,(425) 644-7321,,15,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Manuela Paul,Administrator,7,13,manuela_paul@yahoo.com,NA,NA,NA
FARRINGTON COURT RETIREMENT COMMUNITY,AL,2145,This variable does not exist for Assisted Living,516 Kenosia Ave S,Kent,WA,98030,King,516 Kenosia Ave S,WA,98030,(253) 852-2737,(253) 854-1525,90,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,MARCIA BYRD,Administrator,60,74,stellar.bom@stellarliving.com,NA,NA,NA
Fieldstone Memory Care Issaquah,AL,2471,This variable does not exist for Assisted Living,23845 SE Issaquah Fall City Rd,Issaquah,WA,980297514,King,23845 SE Issaquah Fall City Rd,WA,98029-7514,(425) 654-4005,,68,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Eric Houghton,Administrator,58,59,scotth@fieldstonecommunities.com,NA,NA,NA
FIRWOOD,AL,1795,This variable does not exist for Assisted Living,10751 2ND AVE NW,SEATTLE,WA,98177,King,10751 2ND AVE NW,WA,98177,(206) 362-0560,(206) 436-8203,20,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Shelby Buchanan,Administrator,19,18,sbuchanan@chmha.org,NA,NA,NA
FLORENCE OF SEATTLE ARBOR HEIGHTS,AL,2009,This variable does not exist for Assisted Living,9850 CALIFORNIA AVE SW,SEATTLE,WA,98136,King,9850 CALIFORNIA AVE SW,WA,98136,(206) 714-3324,(206) 767-0397,12,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Laurie Yamashita,Administrator,28,11,laurie@florenceofseattle.com,NA,NA,NA
FLORENCE OF SEATTLE LLC,AL,2011,This variable does not exist for Assisted Living,8424 16TH AVE SW,SEATTLE,WA,98106,King,8424 16TH AVE SW,WA,98106,(206) 767-3137,(206) 212-7637,21,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Laurie Yamashita,Administrator,20,19,laurie@florenceofseattle.com,NA,NA,NA
FOSS HOME AND VILLAGE,AL,1065,This variable does not exist for Assisted Living,13023 Greenwood Ave N,Seattle,WA,98133,King,13023 Greenwood Ave N,WA,98133,(206) 364-1300,,60,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,KP,Nancy Mohrman,Administrator,21,49,nmohrman@fosscare.org,NA,NA,NA
FOUNDATION HOUSE,AL,1155,This variable does not exist for Assisted Living,11301 3RD AVE NE,SEATTLE,WA,98125,King,11301 3RD AVE NE,WA,98125,(206) 361-2758,,30,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Pamela Williams,Administrator,50,15,Pwilliams@foundationhouseng.com,NA,NA,NA
FOUNTAIN COURT ASSISTED LIVING,AL,1568,This variable does not exist for Assisted Living,24200 224TH AVENUE SE,MAPLE VALLEY,WA,98038,King,24200 224TH AVENUE SE,WA,98038,(425) 432-3352,,65,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Diana Foster,Administrator,109,97,lrose@artegan.com,NA,NA,NA
FRED LIND MANOR,AL,864,This variable does not exist for Assisted Living,1802 17TH AVE,SEATTLE,WA,98122,King,1802 17TH AVE,WA,98122,(206) 324-1632,,82,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Dave Foltz,Administrator,60,33,mcarlin@fredlindmanor.com,NA,NA,NA
Garden Terrace Healthcare Center of Federal Way,AL,1631,This variable does not exist for Assisted Living,491 S 338TH STREET,FEDERAL WAY,WA,98003,King,491 S 338TH STREET,WA,98003,(253) 661-2226,,34,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,Multi-care,NANCY BUTNER,Administrator,No response,No response,megan_larson@lcca.com,NA,NA,NA
Gencare Lifestyle Federal Way at Steel Lake,AL,2484,This variable does not exist for Assisted Living,31200 23rd Avenue South,Federal Way,WA,98003,King,31200 23rd Avenue South,WA,98003,,,115,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,BRIANNA SAM,Administrator,No response,No response,bsam@gencare-inc.com,(235)941-5859 (Mobile),NA,NA
GOLDEN HEARTH RESIDENT,AL,1559,This variable does not exist for Assisted Living,15934 NE 139TH PLACE,WOODINVILLE,WA,98072,King,15934 NE 139TH PLACE,WA,98072,(425) 298-0407,,8,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Priscilla Kenney,Administrator,117,76,goldenhearth.carisa@outlook.com,NA,NA,NA
HALCYON,AL,807,This variable does not exist for Assisted Living,1200 134th Ave NE,Bellevue,WA,98005,King,1200 134th Ave NE,WA,98005,(425) 643-7806,,8,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Cheryl Jordan,Administrator,16,8,jennifer.nanthrup@hhftd.org,NA,NA,NA
HEARTHSTONE,AL,193,This variable does not exist for Assisted Living,6720 E Green Lake Way N,Seattle,WA,98103,King,6720 E Greenlake Way N,WA,981035439,(206) 525-9666,(206) 517-2214,62,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Randi Saeter,Administrator,50,45,rsaeter@hearthstone.org,NA,NA,NA
HERITAGE HOUSE AT THE MARKET,AL,919,This variable does not exist for Assisted Living,1533 WESTERN AVENUE,SEATTLE,WA,98101,King,1533 WESTERN AVE,WA,98101,(206) 382-4119,,64,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,JENNIFER HERRMANN,Administrator,0,58,jennifer.herrmann@providence.org,NA,NA,NA
High Point Village,AL,2432,This variable does not exist for Assisted Living,1777 Highpoint St,Enumclaw,WA,98022,King,2020 A St SE Suite 101,WA,98002,(360) 825-7780,,65,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Angie Howells,Administrator,57,105,office@villageconcepts.com,NA,NA,NA
HIGH WEST RESIDENCE,AL,978,This variable does not exist for Assisted Living,15035 8th Ave S,Burien,WA,98148,King,PO BOX 69080,WA,98168,(206) 241-3119,,16,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Larry Liechty,Administrator,0,0,larry.liechty@navos.org,NA,NA,NA
HILLTOP MANOR BOARDING HOME,AL,1278,This variable does not exist for Assisted Living,1732 16TH AVE,SEATTLE,WA,98122,King,1732 16TH AVE,WA,98122,(206) 329-5775,(206) 436-8203,35,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Amanda Wager,Administrator,12,29,awager@chmha.org,NA,NA,NA
HORIZON HOUSE,AL,212,This variable does not exist for Assisted Living,900  UNIVERSITY ST,SEATTLE,WA,98101,King,900 University St,WA,98101,(206) 624-3700,,90,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Lauri Warfield-larson,Administrator,123,73,lauriw@horizonhouse.org,NA,NA,NA
IDA CULVER HOUSE BROADVIEW,AL,945,This variable does not exist for Assisted Living,12505 GREENWOOD AVE N,SEATTLE,WA,98133,King,12505 GREENWOOD AVE N,WA,98133,(206) 361-1989,,109,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Brittany Bell,Administrator,62,48,administrativeservices@eraliving.com,NA,NA,NA
Ida Culver House Ravenna,AL,858,This variable does not exist for Assisted Living,2315 NE 65th St,Seattle,WA,98115,King,2315 NE 65th St,WA,98115,(206) 523-7315,(206) 374-2927,50,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,Katrina Ondracek,Administrator,62,38,administrativeservices@eraliving.com,NA,NA,NA
ISLAND HOUSE,AL,2375,This variable does not exist for Assisted Living,7810 SE 30th St,Mercer Island,WA,98040,King,7810 SE 30th St,WA,98040,(206) 236-0502,(206) 236-7323,35,https://fortress.wa.gov/dshs/adsaapps/Lookup/BHAdvLookup.aspx,NA,DANIEL SCANSEN,Administrator,42,29,danscansen@mbk.com,NA,NA,NA
